"","x"
"2552","95% of big hockey fans loved Zegras/Milano, while 90% of casual fans loved it.

Simply universal appeal across the board.

There's usually no right/wrong with opinions. This case is an exception. https://t.co/WlEDsXFJKE"
"2553","As you can see @JohnTortorella2, it was actually big hockey fans most love Zegras/Milano. Not only do we pull in more casual fans, but we really are giving big hockey fans something they ended up wanting

I'll give you a five minute major for your opinion, but no game misconduct https://t.co/WlEDsXFJKE"
"2554","Poll 2 of 2 (for casual hockey fans only):

What did you think of the Zegras/Milano goal?"
"2555","Poll 1 of 2 (for big hockey fans only):

What did you think of the Zegras/Milano goal?"
"2556","@reynmaker23 @DQuinn1575 You are missing a key piece of information: their age.  The entire crux of the Hall of Fame rests on the issue that players are taking far too long to be inducted."
"2557","@reynmaker23 @DQuinn1575 I'm not a fan of ""positions"" as if they are immutable.  Andre Dawson spent as much time as Dale Murphy in CF. Hawk happened to spend more time in RF than in CF. Andre Dawson is CLEARLY a CF, yet most would list him as RF because of the nonsense of where he spent most of his time."
"2558","@wellsoliver Only if he's 100% committed to it.  You can see that he was arguing against himself, saying how cool it was, and then saying you couldn't do it in the 1990s. If you are not going to 100% believe your nonsense, like Homer Simpson, there's no fun in your position."
"2559","@reynmaker23 @DQuinn1575 Putting in Jack Morris makes it easier to now get El Presidente in and then Orel Hershiser and then David Cone. 

Get Jim Rice in, so that opens the door for Dwight Evans and Dave Parker and Dale Murphy.

We'll get them all in."
"2560","@reynmaker23 @DQuinn1575 Will Clark is deserving, as is Keith Hernandez among others.

Gil Hodges is deserving (also count his managerial stint).  If we have to put them in order, and only vote them in order, no one will get in.

Just get them in one at a time, in whatever order is needed."
"2561","@DQuinn1575 @reynmaker23 Compare to the hockey hall of fame, where we don't have this problem at all.  Players get inducted very very quickly, probably at twice the speed of the baseball players.  Sure, there are old-timers too, but we don't have years of waiting a long time for alot of players."
"2562","Having attended the Tim Raines et al inauguration: it's a long long long afternoon in that heat!  I have no idea how all those old-timers in suits did it on the podium.  I know I was getting heat stroke and was looking for any kind of cool shelter."
"2563","... or you go through a runoff process, as you whittle down the nominees until you get to a manageable number, whereby everyone gets an up/down vote, which can result in 0 inductees or 6 inductees or anything in-between.

The only reason you don't want to have too many inductees:"
"2564","So you can't just create arbitrary rules like ""10 vote max"" and ""75% threshold"" while putting up far far far too many qualified candidates.  That's how you get to vote-splitting.

You either create a point system (like MVP), with a set number of inductees (say elect-2 or elect-3)"
"2565","Hall of Fame problem is math.  

There were 13 players inducted into HOF between 1936 and 1944.  

In 1945, no one was inducted. But on that ballot, *56* of players would eventually be inducted.

@billjamesonline wrote an exceptional book on HOF in 1994.

https://t.co/6ooMFFKVzJ"
"2566","""In my day, we'd have taken care of it.  But, we're more enlightened today.  I'd be wrong if I didn't evolve along with the players.""

-- what Torts should have said https://t.co/ASj3JtEbdx"
"2567","@ellen_adair @JPosnanski This is how I see it... https://t.co/XDgJsrXpix"
"2568","The day that the 4 greatest pitchers of all time were actually the 4 greatest pitchers at the exact same time https://t.co/GxL7BmJWbL"
"2569","Possibly the 4 greatest pitchers of all-time may have peaked in close proximity to each other. https://t.co/ivaQPmRJMM"
"2570","@reynmaker23 Well, I've gotten ""over it"", as I don't want to tie my happiness to what the voters do (well, at least until Tim Raines).  

At this point, all we can hope for is for the process to change.  And us making the good noise to help that along."
"2571","@reynmaker23 He wasn't on the 2009 ballot.... but yes, I'm a big hall guy, thinking it's better to honor folks rather than not-honor them."
"2572","Right around June 4, 1994 is when Pedro Martinez and Dwight Gooden were presumed to be equally talented.

Their futures would obviously be very different after that...

https://t.co/LZ4nyrWIe5 https://t.co/QVUZ4h9Dod"
"2573","... that ""eventually"" process.

@dcone36 will eventually gain induction.  But, why would he need to wait an inordinate amount of time?

In their rush to keep Mattingly, Parker, Murphy, McGwire, Tommy John away, they are making it harder for Cone... while giving Baines the chance https://t.co/ywxCuwDSRF"
"2574","2010 HOF ballot featured one player voted in, plus 9 other that were eventually inducted.

2000 HOF ballot voted in 2, plus eventually 7 more.

Here's other random years; on any one ballot, you have 10 players that will gain induction.

The issue is how long it takes in ... https://t.co/v26UQr5Kgv"
"2575","Always like it when the vote is almost perfectly split... https://t.co/RGGPhSoG9s"
"2576","The season after that, let's say Ottawa is last in attendance: Ottawa fights Hamilton for the Senators.

A city is exempt from re-competing for relegation for six years.

Maybe instead of every year, we do this every three years, based on three years of past attendance."
"2577","What if instead of relegating a club, we relegate a city?  Let's take Glendale and Quebec City. The Coyotes play 21 games in AZ, 20 games in QC. Let's say QC draws more fans. They keep the Coyotes, rechristened the Nordiques. Next season, Houston/Buffalo fight for the Sabres."
"2578","Two points, nothing but net... https://t.co/yPDWXfYWVa https://t.co/dBG3JdCnil"
"2579","@rog61 Right!  Tanana was 24 years old, while Ryan was 30 years old.  Here's how they looked at the time, as teammates.

There's no question that Tanana was considered by far the more likely to have more success from that point onwards. https://t.co/LIR8gU9Lnf"
"2580","Waitaminute... Mussina has one balk... for his career?!?

https://t.co/IvbIoDSDxS https://t.co/LauUNY7DFB"
"2581","Big @dcone36 fan, as is anyone else who grew up watching him since his rookie season.

The big difference between the two is that Mussina was able to pile on 4 more years at a slightly above average level.

Mussina is totally deserving of his HOF. As Cone should be https://t.co/7y6rOROMGk"
"2582","Enhanced Game Score now goes back to 1976... discover pitchers you may have never known, like Frank Tanana...

https://t.co/CvZqEugNAu https://t.co/5Qz411er9p"
"2583","@PMoehringer https://t.co/RfTvjendOI"
"2584","Slavin gets an xG of 
+0.4 for the block
-0.9 for the shot
+0.9 for the save 
-0.4 for the pass

All in one second.

Time-Traveller Bonus: Slavin reset the play to exactly where it was had he not interfered with the timeline https://t.co/8LwcVfMzNf"
"2585","Change hockey to anything, and the statement is still true https://t.co/8F6Nbc5m2H"
"2586","@downsr30 @NotMrTibbs @ShutTheDore That's not the solution. There's a good chance even fewer players get voted in"
"2587","@JPosnanski @ellen_adair I figured it was a play on Filly, as the Phillies logo looks like a horse, though the Flyers logo even moreso."
"2588","Sorry for the bad chart at the bottom... I meant to put the range at -0.25 to +0.5 instead of what I did.  Here you go... https://t.co/Meai6N4Pmb"
"2589","So, a voter has an obligation to vote as many players as *they believe in*, without worrying that they are voting for ""too many"" players.

You need to have ""too many"" in order for the math to work out in inducting even two players."
"2590","If every voter can only select one name on their ballot, no one would get voted into HOF.
If every voter had to select two names, no one would get voted in.
If every voter had to select three names, no one would get voted in.
You probably need a ""five+ must"" to get one voted in."
"2591","Distribution of Leverage Index (LI) and WPA

10% of plays have an LI over 2, while half have an LI below 0.8.  (Three run leads in the top of the 9th have LI of 0.8)

20% of plays have a WPA outside of +/-0.05 wins

One-third of plays have a positive WPA, which corresponds to OBP https://t.co/ZSRIaGlZ46"
"2592","I self-taught SQL by using the Query/Design function in Ms Access.  You can see the SQL code that generates whatever you want.

I still use Ms Access on occasion... excellent interface. https://t.co/9i9sSl8Rp6"
"2593","Thanks to data collected from @NotMrTibbs @ShutTheDore we see who is on track to ""flip the vote"" of No's to Yes's

Schilling needs to flip 14% of last year's No to Yes. So far hes flipped 0 of 2 AND hes LOST two of 10 yes's

Bonds/Clemens need to flip 35%. So far they are 0-fer-4"
"2594","I thought hitting a round ball with a round bat was the hardest thing to do in sports... https://t.co/Z9j7HkJq9h"
"2595","Merger in the  NHL, 1970s
https://t.co/p9KYMkiz29"
"2596","When this is trending, I know to stay away from Twitter... https://t.co/n2kBNVSZmg"
"2597","@MotheVarun @AhaanRungta Source https://t.co/pPlBHvxA2D"
"2598","@MotheVarun @AhaanRungta It comes down to how important it is to minimize injury.  There was a time hockey goalies would not even wear a mask, which seems completely insane to us in the present. https://t.co/m1EPPmjbPQ"
"2599","Excellent primer... https://t.co/WkEGCAPYfJ"
"2600","Yes, shots are a leading indicator, given limited number of games. But at some point, scoring goals actually will take precedence.

Our job is to simply determine how much what we Observed is affected by Random Variation. https://t.co/XfT7auPjL1"
"2601","Sidney Crosby's lacrosse goal in juniors.  Bonus, French announcers!  I'd translate it, but all the announcers kept saying was ""Incroyable!""

https://t.co/uoBugw8ju7"
"2602","""I went to a hockey game and a lacrosse+baseball game broke out"" https://t.co/5ZThoSHRVD"
"2603","@FreezeStats All good thank you again for noticing... https://t.co/87craravrb"
"2604","@MotheVarun @AhaanRungta Right, seems like an  unnecessary risk"
"2605","@JulPrusac Being that close is the best, as you can hear the skates on the ice, which is an amazing sound to hear..."
"2606","These movies are all on, which would you rewatch?"
"2607","@thundadan27 0,0 is tip of home plate; 60.5,0 is the pitching rubber"
"2608","@chris_st_amand @ScottMcKinney1 Right, to me I'm asking about the injury aspect.

Having never held a cricket ball, I have no idea whether it's more like a football, or more like a baseball."
"2609","@Pitching_Bot https://t.co/mPvXeUK4FA"
"2610","I don't follow cricket at all.

Can my cricket followers tell me: Any particular reason that cricket fielders don't wear gloves? https://t.co/ii71TgGg6J"
"2611","@FreezeStats Much appreciated again, the site should update tomorrow AM"
"2612","@FreezeStats Thank you for bringing this up.  The issue is with the Jays having more than one home park.  We were checking for ""equals 30"", and so you'd have Vlad with many plays with HR in 32 parks.  We'll sort this out, thank you again."
"2613","As if the math itself wasn't already hard (64 votes spread to up to 10 persons, of which you need 12+ for induction), now the voter is also considering current age of the nominee.

Solution is obvious: everyone gets an up/down vote (though I'd also include an abstention option). https://t.co/GdRAZbF6jp https://t.co/112Zem4fmg"
"2614","@watchingadfly @megrowler @jay_jaffe @curlyfro Each person deserves an up/down/ABSTAIN vote."
"2615","@mike_petriello Wait until they use the 4 move checkmate..."
"2616","@alevine1986 There are so many deserving.... I can knock out two dozen off the top of my head.  This process is going to become more problematic because of the math of vote-splitting."
"2617","@tonycal93 @PMoehringer Nice! Is Steve Garvey (at 43%) the first player below that line?"
"2618","Now that Gil Hodges has been inducted: Every player that has ever received at least 50% of the vote from BBWAA and is no longer on BBWAA ballot has eventually been inducted into the Hall of Fame

After this season, Bonds, Clemens, and potentially Schilling will reset that clock."
"2619","On the other hand, this other committee had 58 votes going to 7 players with up to 6 votes going to other 3

So either 6 voters definitely were a no on Harris and 8 definitely were a no on Donaldson, or they didnt care about reading the room and just selected their personal top 4 https://t.co/J5YZHs4R9K"
"2620","@DQuinn1575 No, it says 3 or less... in other words... 0 to 3."
"2621","This is 61 votes for 5 players.  With 16 members each selecting 4 names (64 votes max), that leaves 3 votes for the other 5 players on the ballot.

This becomes a math exercise.

So the voters did a good job in ""reading the room"" and making sure their votes wouldn't be wasted. https://t.co/s6JcNaoS9P"
"2622","""Anthos on Bare Metal, how MLB Turned Ball Parks into On Prem K8 Clusters"" by Kevin Backman https://t.co/nWt5w1LVCH"
"2623","@Druw_ @rachgutman Are you asking about vaccines *at all*, or are you asking about the booster?  The WHO's position on boosters is focused on those that are immunocomprimised or the elderly.  But in terms of the initial double-dose vaccine, they are even clearer: get it."
"2624","@Druw_ @rachgutman It's like wearing a seatbelt: it's not a cure, but it's a highly effective remedy in reducing fatalities."
"2625","Excellent piece from @rachgutman 

https://t.co/S4xvHLQhbJ"
"2626","If Wayne Gretzky never scored a goal, he still would hold  the NHL record for most points."
"2627","@MarcCarig https://t.co/7UZWdtlx4a"
"2628","@DQuinn1575 Rule 31.11 ... https://t.co/8qe4yePcE1"
"2629","@trevnorton @DavidMTodd Read Twitter every time Ovi scores a goal... it's going to get really bad once he passes Jagr.  Some time next year, he'll pass Gordie Howe, and from that point, the Ovi takes will be like a tsunami.  (To no fault of Ovi by the way.)"
"2630","Maybe the 2nd greatest rule in the sports world...when the players have to be officials of their own teams

https://t.co/eahYx4AMrJ https://t.co/veSZHtlHMJ"
"2631","The #EBUG is the greatest rule in the sports world, and you want to... take it away?!? https://t.co/skUMbT8FPh"
"2632","The Big Cat is one cool... uhhmmm... cat (sorry) https://t.co/9NPmXavvCy https://t.co/smvus9n4LJ"
"2633","@justinjoboyle Yes, that's what out of towners are doing, they park for parking.  

So now we're back to square one.  Are you saying that out of towners who are paying for parking should not apply the holiday promotion of half-off parking and/or overspend in Hoboken for ""free"" parking?"
"2634","@justinjoboyle Sure, if you live there, there's no point in driving, but anyone who lives there knows that already.

Promotion is geared toward out-of-towners..."
"2635","@justinjoboyle You mean don't park there or don't apply the promotion?"
"2636","@DavidMTodd It doesn't have to be same-franchise.  Simply the idea of elevating Papi over Splinter..."
"2637","@DavidMTodd Re-read the tweet I quoted..."
"2638","This is an Ovechkin/Gretzky take for baseball.

We'll probably see this in about 10 years in basketball, as the kids forget about Jordan. https://t.co/uXa07TUp2d"
"2639","Gretzky to Lemieux https://t.co/S487LoByS8"
"2640","Wait, what?  

The reporter is quoting an official: Quebec City has no black police officers (they prefer going to Montreal instead), and their last one was during one summer in the 1990s https://t.co/D305iNshNc"
"2641","@Panger40 @StLouisBlues @NHL @BallySportsMW What do you think @Panger40 ?

https://t.co/2x717e8vwp"
"2642","Gretzky, a couple of weeks into his NHL career

He did sign a 21 year contract, to bring him to 1999... which is when he retired

https://t.co/Ne8ZbvcKZU"
"2643","@Pfeiffer86 I'm Canadian, so it's pretty easy for us..."
"2644","Gretzky on his career choices...

https://t.co/7CuuNwCfCV"
"2645","This was the interview I remembered... 16 years old...

https://t.co/xBLosaewk9"
"2646","16 year old Wayne Gretzky, playing at the U20 international tournament, with impressive moves...

17 points in 6 games, next highest on the team had 10 points 

https://t.co/U2lVlAo6JB"
"2647","Days after his twentieth birthday...

The level of poise is impressive.  I've seen interviews of him as a teenager and he exhibits the same level of humility off the ice even though he knows he towers over everyone on the ice...

https://t.co/mNG5bGrpiC"
"2648","@patrickbetdavid Let's not let truth get in the way of a good story...

https://t.co/03PpAaGFgr"
"2649","Hockey-verse lost their minds when Grubauer was observed with a super low .880 save%, and I suggested it just means his true talent level is closer to .910.

Fast-forward to today, and since then, Grubauer has allowed 15 goals on 162 shots, which is a... .907 save%.

@hockey_ref https://t.co/sgThHon4vP https://t.co/BWwBnTs3ne"
"2650","@Firwin_32 There's a lack of appreciation of change in environment, rather than change in players.  It would largely be the same goalies for example here.

For the most part the change in talent is minute, while the change in playing conditions is enormous.

source: @hockey_ref https://t.co/RGZZuTwvSG"
"2651","@Firwin_32 What's odd is that in the 1980s and 1990s, we still revered Rocket Richard.  No one would ever suggest that somehow Mike Bossy or Guy Lafleur were better goal scorers than Rocket.  I think we all appreciated their talents in their context."
"2652","Waiting for the folks to say they never saw Wayne Gretzky do this, so that must mean JT is better... https://t.co/wEl0pE7a3V"
"2653","Leaving their own player alone seems fine https://t.co/oktiZHkraL"
"2654","Kris Bryant, 2016-2021

wOBA
.461 v LHP, Shifted
.383 v LHP, No-Shift

.355 v RHP, Shifted
.367 v RHP, No-Shift

While you can potentially make the case the observed splits v RHP are real (they probably are NOT), theres nowhere to hang your hat on shifting Kris Bryant against LHP"
"2655","Every team that shifts on (RHH) Giancarlo Stanton should be required to explain why they are shifting on Stanton after the game.

Stanton, 2016-2021

wOBA
.476 v LHP, Shifted
.386 v LHP, No-Shift

.376 v RHP, Shifted
.351 v RHP, No-Shift https://t.co/pgZHAOkwvo"
"2656","@figolambo @RaysGoat Oh my!  They used practically the same numbers I used in my example above... very serendipitous! https://t.co/E9GxMYPRtk"
"2657","@BizballMaury Everyone will go through their five stages of grief.  
Most will end up following the Homer Simpson plan.
https://t.co/3yH8ci4GQS"
"2658","@Mt_Oreilly Yes, absolutely!  This is the first time that shifts against RHH has finally gone down, which means clubs are beginning to realize that their assumptions don't have basis in facts.

Look for shifts on RHH to keep dropping."
"2659","@Mt_Oreilly Focusing on BIP is the wrong thing to do. Thats because pitchers, as human beings, will respond to the shift. And Stanton, as a human being, will respond to the shift and to the pitcher's response. Strikeouts, walks, and HR cannot be ignored. They are critical to the whole thing."
"2660","... other words he didn't save 1.8 goals, but rather 0.97 goals.

Now that I've removed all the fun of that play, stop reading my tweet and go back to the video.  It's insane."
"2661","So, this would be xG of 0.3, 0.9, and 0.6 (or so).  That's 1.8 xG on 3 shots, meaning the goalie saved 1.8 goals compared to an average goalie.

However, this is one drive. There was only one goal to be available.  Making three consecutive saves like that is an xG of 0.97.

In... https://t.co/3t3UhHPmnG"
"2662","So, we're all confused, with most of us very confused... https://t.co/pgZHAOkwvo https://t.co/o0ixx6K6Up"
"2663","Good list, I had a few I was looking for and they were all there (Helyar, Miller, Lewis, @thorn_john , @billjamesonline , @JPosnanski , @alanschwarz  among others). Bodes well for the others I never heard about... https://t.co/BvVYwClDFL"
"2664","Why was (RHH) Giancarlo Stanton shifted ~120 times in 2020-21 -&gt; wOBA of .483?

(wOBA of .349 when not shifted)

In 2016-2019, while not as lopsided, it still showed no cause to shift either: .387 shifted / .364 not

If you want to see scary numbers: shifting Stanton with a LHP."
"2665","Agreed!  

I think I figured once that, of players born since 1931 (Mays/Mantle birth year), 35-40% are MLB HOFers  thanks to Jackie breaking the color barrier.

And so, we need a *heckavu* lot more representation pre-Jackie. https://t.co/ENO0edwNBG"
"2666","@DQuinn1575 I don't mean debt forgiveness, which is its own topic.

I just mean every state university should be free, like high school. Paying directly out of pocket, or thru a community fund (aka taxes) is the issue. Rest of the world have included education in ""common defense"" preamble... https://t.co/zBl7V8rBmg"
"2667","*Hear

(Is it necessary to correct typos in tweets?)"
"2668","""They *must* know something we don't"" is always the refrain I here, when you see clubs shifting on RHH.

They've FINALLY reduced shifting on RHH, but still you have to ask, why is it not all the way down to 0?  

https://t.co/YLArYvPnSL https://t.co/ctFbdNMfSs"
"2669","If only there was a region in the world we could turn to that had low cost (cough 🇨🇦 cough ) or almost no-cost (cough 🇪🇺 cough) college education for their citizens to figure out how to do this. https://t.co/IZ3UCTsDen"
"2670","@tonyblengino No point in doing all this if we don't get a surprise every now and then!"
"2671","Players since 2016 with the highest percentage of HR tracked 20+ feet beyond the fence.  Min 30 HR.  League average is ~50%

Tommy Joseph is currently the hitting coach for the St. Lucie Mets, the Low-A affiliate of the New York Mets

#Statcast https://t.co/R1gxhAgT0c"
"2672","Responsibilities of assistant GMs has now increased by 1... https://t.co/v8lIzec0o6"
"2673","From the defender's perspective, he gave up a 0.1 xG shot.

From the goalie's perspective, he faced a 0.3 xG shot.

From Forsberg's perspective, he took a 0.5 xG shot. https://t.co/EXGHu7qduQ"
"2674","@TessKolp One was confronted by my dog many years back. We thought our dog killed it, as it was lying there in our backyard.  It's extremely frightening looking when its mouth is opened.   20 minutes later, it was gone. The possum literally played possum."
"2675","xG of 0.001 or 0.999 ? https://t.co/yau9RFdpRr"
"2676","@MisterJHuffman @DSzymborski A couple of Oil Can articles...

https://t.co/rrEwjXY6S8

https://t.co/DSFUz9Kl2O"
"2677","Maybe @oilcanboyd23 will give you permission to tell his stories? https://t.co/dzGxp75kXM"
"2678","@DSzymborski I'd totally vote for Tim Wallach, Bill Lee, and Oil Can Boyd if I had the chance."
"2679","Lewandowski #BallonDor 

Maybe half the voters misspelled his name, and so he split the vote with himself?

Otherwise, I got nuthin"
"2680","In slo-mo, that looks regular speed https://t.co/4sMPAkq3kg"
"2681","@CardHard11in11 There's only one multiplication in that equation"
"2682","@CardHard11in11 There's no ambiguity... it's the standard convention.  

Whether you use an asterisk, a dot, an x, or nothing next to the open paren, they all imply multiplication."
"2683","I was sleeping for the last 7 hours... can someone catch me up on the thirteen signings I must have missed?"
"2684","@lktwins5 Of course there is such a thing as a math person or an artistic person.  But you can ALSO learn to be a math person. Nature AND Nurture."
"2685","Before the 2021 season, would Yanks and Redsox fans have preferred a wild card system or not? How about after game 162?

And how about Rays fans, before/after?"
"2686","@Erik_G_T Agreed. I've proposed something like that in the past"
"2687","@bawfuls @SirSkrilliam Not a problem in other sports..."
"2688","@mikecournoyer No it doesn't.  That's just made up.  People still sell out hockey arenas and basketball arenas with 16 teams (and more) in the playoffs."
"2689","As a math person: This thread makes me very sad. https://t.co/6Ro7AhpHEy"
"2690","@SirSkrilliam Right, I just like watching games.  I don't give meaning to some team being ""the best"" because they win a tournament.  If you want to know which team is ""the best"", it's more likely to be the winner of the regular season."
"2691","The exact opposite of this, plus one extra iota of love... https://t.co/eQwygxZ2Ky"
"2692","@fiftycente1 Exactly!  This is going to be pretty exciting"
"2693","@PaulLovesTacos @DSzymborski I love the second part!  I'd probably divide by 2, on the idea that each playoff game is worth double a regular season game.  Otherwise, fantastic!

Rays had an 8 game lead over the Redsox.  So, Redsox win 4, or Rays win 1, whichever comes first. Wonderful."
"2694","@DSzymborski Right, but my point is that if you start with best-of-7 as the ideal structure in terms of how often you want the better team to advance, then the NBA equivalent is a single-game playoff."
"2695","@EJLantigua Nice!"
"2696","@DSzymborski Or, a best-of-7 in NHL/MLB is equivalent to a single winner-take-all NBA playoff game.

This is not an NHL/MLB issue... it's an NBA issue."
"2697",". @baseball_ref is on the Mount Rushmore of baseball sites, and everyone out there that can support it, should do so... https://t.co/Ys0uZANObr"
"2698",". @fangraphs is on the Mount Rushmore of baseball sites, and everyone out there that can support it, should do so... https://t.co/HWu1eqCAOs"
"2699","Blog Post: Statcast Lab: Layered Hit Probability, Layer 1: Homerun Distances https://t.co/M6NqYhuVMY https://t.co/A043H0modO"
"2700","@dastudes Terrific!  I think you'll like the next blog post I just put up..."
"2701","Whoah, Rangers are going to go from among the least likely to be a free agent customer to among the most likely! https://t.co/7o7hR4e0Pt"
"2702","Blog Post: Statcast Lab: Layered Hit Probability, Layer 0: Paradigm shift https://t.co/1K7VP5aBKT"
"2703","Buxton is a saber-darling... https://t.co/perqjas4un https://t.co/oMRhIZsInY"
"2704","Me when the dog is yelling: he's causing havoc, why won't the dog keep quiet?

Me when the dog is quiet: he's too quiet, is he causing havoc?"
"2705","@EvolvingWild The only reason I ignore RBI and pitcher Wins altogether is because I have an alternative to the point that RBI and W add nothing.

But say if you have very limited data on hand, then RBI and W *do* add value and *cannot* be discarded."
"2706","@EvolvingWild There's as much value in plus/minus as there is in RBI and runs scored for players. But only when adjusted. 

Even better is if you provide an alternative.  We have in baseball in the form of wOBA, RE24."
"2707","@ZachMorris5 I highly doubt the voters will induct. He is highly deserving"
"2708","@EvolvingWild Even earlier... check out Jacques Plante

https://t.co/dqjbETEOIf"
"2709","What I like about the first method is I'm simply asking ""How many Hall of Fame starts has the pitcher thrown?""

We can debate what the line should be for that, but pretty much whatever reasonable line you take, you will end up with the same names."
"2710","@BraveRoyal @Dander_Bogaerts We have such a pitcher in our midst...

https://t.co/mNsmoTTZFN https://t.co/mWX15pasj8"
"2711","... we give them 1 point for each score above 50 in each start (and zero out anything under 50), the top 10 are still the same names, but in varying order.  (Top 2 same, bottom 3 same, middle 5 mixed up.)

It's clear to me that Felix, Hudson, Hamels, Lester are all HOFers."
"2712","Using Enhanced Game Score, and give a pitcher 1 HOF point for each start of 70+ points, since 1999, the top 10 are:
167 Kershaw
153 Verlander
136 Max, Felix
133 Greinke, CC, Hudson
124 Doc, Hamels, Lester

Others: Sale 97, Johan 95, deGrom 88, Kluber 84, Stras 82

If instead..."
"2713","@DylanFEddieP Right, I meant the latter..."
"2714","@CasinoJoeYahoo Lynn signed for 3/30. The year BEFORE, he signed a 1/12 deal.  

Obviously a great signing.  I don't know whether it was brilliant or fortuitous."
"2715","@keels81 That's a good one.  Among the recent seasons, I'd add Max Scherzer in there."
"2716","If you look at the top 10 free agent signings year by year,  you will find that the Rangers signed none of them from 2014-2020. (Prior to that it was Shin-Soo Choo, Darvish, Beltre.) 

As the small print says: past performance does not necessarily predict future results.

#Semien"
"2717","deGrom has two Cy Youngs, could have had a third in 2020, and was well on his way to another in 2021.  If you were to rearrange his career starts, you could have him with 4 Cy Young awards.

Would that make him a shoo-in for the Hall of Fame? https://t.co/EPBFUrtFQI"
"2718","The impressive thing with the NHL is how stable the scoring environment year to year.

(2017-18 season is the Knights expansion.)

https://t.co/H8FvpibujY https://t.co/pd8fJIIeYd"
"2719","Corey Kluber won two Cy Youngs, and finished third two other times.

You could swap a few starts (from 2013 and 2015) into 2016/2018 and get him a third, if not 4th Cy Young.

If we did that (leaving his career totals unblemished), would he be a shoo-in for the Hall of Fame? https://t.co/tAOVxttVZc"
"2720","@coopincanada Dave Stieb, Dennis Martinez, Steve Rogers, Orel Hershiser, Dwight Gooden, Bret Saberhagen, Frank Tanana all deserve to have their cases heard.

And this is easily done if we adopt the Hall of Fame selection process that @billjamesonline has written about many times."
"2721","QB, not RB...

https://t.co/PKOyNZlyYD"
"2722","Source: https://t.co/LDfcDYX8wm"
"2723","The lack of a star SS at any point in our history has been a blight on an otherwise stellar talent finding in the organization.  Unless we include CFL star Condredge Holloway

cc: @JPosnanski https://t.co/pN7dDSCrTS https://t.co/dmhJQFNJmJ"
"2724","@adams_at @pdubinkc The movie doesn't require a party... it requires the building to be empty as much as possible."
"2725","TIL: Actress Bonnie Bedelia(*) is aunt to McCauley Culkin

 (*) Holly Gennaro/McClane in the noted Xmas movie"
"2726","When Gretzky was 16, he led scoring race in U20 tournament in 1978

In 81 Canada Cup (precursor to World Cup), he led scoring race at 20 years old

At 82 Worlds, he led scoring race. As well in 84, 87, 91 Canada Cup

He led scoring race in every intl tournament he played, 1978-91"
"2727","@BHIndepMO You mean 8 out of 1000 is higher than you expected?"
"2728","Current results, set to 1000 voters: https://t.co/HSu4zKat1B"
"2729","https://t.co/uVLQ23tjsX"
"2730","Most Outstanding Spider-Man movie is... https://t.co/LrSN5Zrj9U https://t.co/BBctMCU8xm"
"2731","Poll 7 of 7: My preferred Spider-Man movie is...

(If you only saw one or none, choose C or D.)

A. Spider-Man 2 (Tobey / Doc Ock)
B. Spider-Man: Into the Spider-Verse (Miles / Kingpin)
C. I only saw one of them
D. I didn't see either of them"
"2732","Poll 6 of 7: My preferred Spider-Man movie is...

(If you only saw one or none, choose C or D.)

A. Spider-Man 2 (Tobey / Doc Ock)
B. Spider-Man: Homecoming (Tom / Vulture)
C. I only saw one of them
D. I didn't see either of them"
"2733","@BJArsenault84 Do you see where it says ""poll 5 of 7""?"
"2734","Of course Ovechkin is a better hockey player than Gretzky.  Then again, Gretzky is 60 years old."
"2735","Poll 5 of 7: My preferred Spider-Man movie is...

(If you only saw one or none, choose C or D.)

A. Spider-Man (Tobey / Green Goblin)
B. Spider-Man: Homecoming (Tom / Vulture)
C. I only saw one of them
D. I didn't see either of them"
"2736","Poll 4 of 7: My preferred Spider-Man movie is...

(If you only saw one or none, choose C or D.)

A. Spider-Man (Tobey / Green Goblin)
B. Amazing Spider-Man (Andrew / Lizard)
C. I only saw one of them
D. I didn't see either of them"
"2737","Poll 3 of 7: My preferred Spider-Man movie is...

(If you only saw one or none, choose C or D.)

A. Spider-Man: Homecoming (Tom / Vulture)
B. Spider-Man: Far From Home (Tom / Mysterio)
C. I only saw one of them
D. I didn't see either of them"
"2738","Poll 2 of 7: My preferred Spider-Man movie is...

(If you only saw one or none, choose C or D.)

A. Amazing Spider-Man (Andrew / Lizard)
B. Amazing Spider-Man 2 (Andrew / Electro)
C. I only saw one of them
D. I didn't see either of them"
"2739","Poll 1 of 7: My preferred Spider-Man movie is...

(If you only saw one or none, choose C or D.)

A. Spider-Man (Tobey / Green Goblin)
B. Spider-Man 3 (Tobey / Sandman)
C. I only saw one of them
D. I didn't see either of them"
"2740","Always wonderful to see folks in our little community get the exposure!  Great job to @EricTulsky and @MeghanChayka https://t.co/h0QCfXI0wg"
"2741","... breakpoint at the all-star break and (naturally) end of season, where we can refresh the model at those two points.

The reality is that production means you have ten times more work and more risk whenever you make a change.  And you have to balance all of that in."
"2742","... more important than being right 100% of the time, but being out of synch on a day to day or endpoint to endpoint basis (to the point that no number was trusted), it's better to be almost 100% right, but consistent across the board.

In our case, we have a natural..."
"2743","This is actually a big deal.  I would update my model daily.  That stopped very, very quickly though. It became an issue since we'd have: 
(a) consistency issue across all endpoints and 
(b) the content folks would constantly need to update their numbers to match the data

So... https://t.co/6NSvFmFnzc"
